Record Date,Debt Held by the Public,Intragovernmental Holdings,Total Public Debt Outstanding,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
1/3/2000,0.00,0.00,5751743092605.50,1,2000,2,2000,1,1,3
1/4/2000,0.00,0.00,5758316426486.15,1,2000,2,2000,1,1,4
1/5/2000,0.00,0.00,5758914216192.02,1,2000,2,2000,1,1,5
1/6/2000,0.00,0.00,5758771904732.40,1,2000,2,2000,1,1,6
1/7/2000,0.00,0.00,5754332677298.67,1,2000,2,2000,1,1,7
1/10/2000,0.00,0.00,5755362337349.58,1,2000,2,2000,1,1,10
1/11/2000,0.00,0.00,5759580265748.75,1,2000,2,2000,1,1,11
1/12/2000,0.00,0.00,5759460143654.90,1,2000,2,2000,1,1,12
1/13/2000,0.00,0.00,5719457826074.43,1,2000,2,2000,1,1,13
1/14/2000,0.00,0.00,5719849572269.03,1,2000,2,2000,1,1,14
1/18/2000,0.00,0.00,5720294602320.21,1,2000,2,2000,1,1,18
1/19/2000,0.00,0.00,5727150582479.46,1,2000,2,2000,1,1,19
1/20/2000,0.00,0.00,5706174969873.86,1,2000,2,2000,1,1,20
1/21/2000,0.00,0.00,5711817746476.20,1,2000,2,2000,1,1,21
1/24/2000,0.00,0.00,5717202915584.34,1,2000,2,2000,1,1,24
1/25/2000,0.00,0.00,5713302084517.53,1,2000,2,2000,1,1,25
1/26/2000,0.00,0.00,5711730807880.49,1,2000,2,2000,1,1,26
1/27/2000,0.00,0.00,5721021925594.31,1,2000,2,2000,1,1,27
1/28/2000,0.00,0.00,5719617669335.03,1,2000,2,2000,1,1,28
1/31/2000,0.00,0.00,5711285168951.46,1,2000,2,2000,1,1,31
2/1/2000,0.00,0.00,5702651446667.03,1,2000,2,2000,1,2,1
2/2/2000,0.00,0.00,5702134559981.88,1,2000,2,2000,1,2,2
2/3/2000,0.00,0.00,5690372687653.89,1,2000,2,2000,1,2,3
2/4/2000,0.00,0.00,5691096297325.05,1,2000,2,2000,1,2,4
2/7/2000,0.00,0.00,5693618340748.18,1,2000,2,2000,1,2,7
2/8/2000,0.00,0.00,5694611209189.87,1,2000,2,2000,1,2,8
2/9/2000,0.00,0.00,5690617208881.34,1,2000,2,2000,1,2,9
2/10/2000,0.00,0.00,5692476887663.77,1,2000,2,2000,1,2,10
2/11/2000,0.00,0.00,5692488848706.09,1,2000,2,2000,1,2,11
2/14/2000,0.00,0.00,5693874593019.53,1,2000,2,2000,1,2,14
2/15/2000,0.00,0.00,5705355135074.08,1,2000,2,2000,1,2,15
2/16/2000,0.00,0.00,5704636239474.18,1,2000,2,2000,1,2,16
2/17/2000,0.00,0.00,5708609026361.46,1,2000,2,2000,1,2,17
2/18/2000,0.00,0.00,5739814030329.64,1,2000,2,2000,1,2,18
2/23/2000,0.00,0.00,5744135736409.24,1,2000,2,2000,1,2,23
2/24/2000,0.00,0.00,5745442288460.59,1,2000,2,2000,1,2,24
2/25/2000,0.00,0.00,5748251779017.69,1,2000,2,2000,1,2,25
2/28/2000,0.00,0.00,5747333809275.61,1,2000,2,2000,1,2,28
2/29/2000,0.00,0.00,5735333348132.58,1,2000,2,2000,1,2,29
3/1/2000,0.00,0.00,5725649856797.45,1,2000,2,2000,1,3,1
3/2/2000,0.00,0.00,5732418769036.22,1,2000,2,2000,1,3,2
3/3/2000,0.00,0.00,5742858530572.10,1,2000,2,2000,1,3,3
3/6/2000,0.00,0.00,5745099557759.64,1,2000,2,2000,1,3,6
3/7/2000,0.00,0.00,5747932431376.73,1,2000,2,2000,1,3,7
3/8/2000,0.00,0.00,5745125070490.06,1,2000,2,2000,1,3,8
3/9/2000,0.00,0.00,5744560824206.30,1,2000,2,2000,1,3,9
3/10/2000,0.00,0.00,5745712662449.10,1,2000,2,2000,1,3,10
3/13/2000,0.00,0.00,5745831852208.71,1,2000,2,2000,1,3,13
3/14/2000,0.00,0.00,5748566517856.04,1,2000,2,2000,1,3,14
3/15/2000,0.00,0.00,5747793381625.76,1,2000,2,2000,1,3,15
3/16/2000,0.00,0.00,5724694663639.63,1,2000,2,2000,1,3,16
3/17/2000,0.00,0.00,5728671330064.36,1,2000,2,2000,1,3,17
3/20/2000,0.00,0.00,5728253942273.38,1,2000,2,2000,1,3,20
3/21/2000,0.00,0.00,5728846067846.82,1,2000,2,2000,1,3,21
3/22/2000,0.00,0.00,5727734275348.06,1,2000,2,2000,1,3,22
3/23/2000,0.00,0.00,5729458665582.66,1,2000,2,2000,1,3,23
3/24/2000,0.00,0.00,5730876091058.27,1,2000,2,2000,1,3,24
3/27/2000,0.00,0.00,5731795924886.02,1,2000,2,2000,1,3,27
3/28/2000,0.00,0.00,5733741907422.83,1,2000,2,2000,1,3,28
3/29/2000,0.00,0.00,5733451648545.39,1,2000,2,2000,1,3,29
3/30/2000,0.00,0.00,5788541874357.52,1,2000,2,2000,1,3,30
3/31/2000,0.00,0.00,5773391634682.91,1,2000,2,2000,1,3,31
4/3/2000,0.00,0.00,5750620100381.36,1,2000,3,2000,2,4,3
4/4/2000,0.00,0.00,5758854640223.41,1,2000,3,2000,2,4,4
4/5/2000,0.00,0.00,5758940935120.58,1,2000,3,2000,2,4,5
4/6/2000,0.00,0.00,5762301865002.06,1,2000,3,2000,2,4,6
4/7/2000,0.00,0.00,5758223953710.54,1,2000,3,2000,2,4,7
4/10/2000,0.00,0.00,5761021041671.35,1,2000,3,2000,2,4,10
4/11/2000,0.00,0.00,5763650722859.87,1,2000,3,2000,2,4,11
4/12/2000,0.00,0.00,5764655944486.86,1,2000,3,2000,2,4,12
4/13/2000,0.00,0.00,5767039169480.67,1,2000,3,2000,2,4,13
4/14/2000,0.00,0.00,5767671832142.44,1,2000,3,2000,2,4,14
4/17/2000,0.00,0.00,5757083549106.21,1,2000,3,2000,2,4,17
4/18/2000,0.00,0.00,5737569465214.72,1,2000,3,2000,2,4,18
4/19/2000,0.00,0.00,5736807961736.07,1,2000,3,2000,2,4,19
4/20/2000,0.00,0.00,5707061035803.79,1,2000,3,2000,2,4,20
4/21/2000,0.00,0.00,5709710106820.64,1,2000,3,2000,2,4,21
4/24/2000,0.00,0.00,5711905996688.11,1,2000,3,2000,2,4,24
4/25/2000,0.00,0.00,5714809510973.78,1,2000,3,2000,2,4,25
4/26/2000,0.00,0.00,5718483607979.32,1,2000,3,2000,2,4,26
4/27/2000,0.00,0.00,5680311128122.62,1,2000,3,2000,2,4,27
4/28/2000,0.00,0.00,5685108228594.76,1,2000,3,2000,2,4,28
5/1/2000,0.00,0.00,5660725641994.27,1,2000,3,2000,2,5,1
5/2/2000,0.00,0.00,5669550992339.00,1,2000,3,2000,2,5,2
5/3/2000,0.00,0.00,5658066936728.56,1,2000,3,2000,2,5,3
5/4/2000,0.00,0.00,5661532699593.02,1,2000,3,2000,2,5,4
5/5/2000,0.00,0.00,5662392522569.88,1,2000,3,2000,2,5,5
5/8/2000,0.00,0.00,5662693356964.51,1,2000,3,2000,2,5,8
5/9/2000,0.00,0.00,5662962880861.72,1,2000,3,2000,2,5,9
5/10/2000,0.00,0.00,5664193479449.87,1,2000,3,2000,2,5,10
5/11/2000,0.00,0.00,5666074628759.68,1,2000,3,2000,2,5,11
5/12/2000,0.00,0.00,5667021443140.97,1,2000,3,2000,2,5,12
5/15/2000,0.00,0.00,5665244853842.93,1,2000,3,2000,2,5,15
5/16/2000,0.00,0.00,5669366486429.39,1,2000,3,2000,2,5,16
5/17/2000,0.00,0.00,5671580132464.01,1,2000,3,2000,2,5,17
5/18/2000,0.00,0.00,5672936400453.12,1,2000,3,2000,2,5,18
5/19/2000,0.00,0.00,5673912681580.44,1,2000,3,2000,2,5,19
5/22/2000,0.00,0.00,5673857621024.05,1,2000,3,2000,2,5,22
5/23/2000,0.00,0.00,5676154056469.67,1,2000,3,2000,2,5,23
5/24/2000,0.00,0.00,5676761996112.82,1,2000,3,2000,2,5,24
5/25/2000,0.00,0.00,5666871102048.34,1,2000,3,2000,2,5,25
5/26/2000,0.00,0.00,5667116101269.73,1,2000,3,2000,2,5,26
5/30/2000,0.00,0.00,5663460034184.96,1,2000,3,2000,2,5,30
5/31/2000,0.00,0.00,5647169888532.25,1,2000,3,2000,2,5,31
6/1/2000,0.00,0.00,5646486626691.13,1,2000,3,2000,2,6,1
6/2/2000,0.00,0.00,5640080609534.56,1,2000,3,2000,2,6,2
6/5/2000,0.00,0.00,5642401863301.59,1,2000,3,2000,2,6,5
6/6/2000,0.00,0.00,5647513754741.07,1,2000,3,2000,2,6,6
6/7/2000,0.00,0.00,5645678929300.91,1,2000,3,2000,2,6,7
6/8/2000,0.00,0.00,5644928857090.87,1,2000,3,2000,2,6,8
6/9/2000,0.00,0.00,5645113216631.00,1,2000,3,2000,2,6,9
6/12/2000,0.00,0.00,5648173825800.99,1,2000,3,2000,2,6,12
6/13/2000,0.00,0.00,5651368584663.04,1,2000,3,2000,2,6,13
6/14/2000,0.00,0.00,5643728718133.89,1,2000,3,2000,2,6,14
6/15/2000,0.00,0.00,5644606868488.81,1,2000,3,2000,2,6,15
6/16/2000,0.00,0.00,5648305252669.45,1,2000,3,2000,2,6,16
6/19/2000,0.00,0.00,5649976295575.09,1,2000,3,2000,2,6,19
6/20/2000,0.00,0.00,5653559850881.99,1,2000,3,2000,2,6,20
6/21/2000,0.00,0.00,5653964505301.84,1,2000,3,2000,2,6,21
6/22/2000,0.00,0.00,5646010797231.14,1,2000,3,2000,2,6,22
6/23/2000,0.00,0.00,5646605711994.02,1,2000,3,2000,2,6,23
6/26/2000,0.00,0.00,5647618721190.63,1,2000,3,2000,2,6,26
6/27/2000,0.00,0.00,5650719953982.79,1,2000,3,2000,2,6,27
6/28/2000,0.00,0.00,5649147080050.00,1,2000,3,2000,2,6,28
6/29/2000,0.00,0.00,5645427846938.37,1,2000,3,2000,2,6,29
6/30/2000,0.00,0.00,5685938087296.66,1,2000,3,2000,2,6,30
7/3/2000,0.00,0.00,5656715920235.71,1,2000,4,2000,3,7,3
7/5/2000,0.00,0.00,5663895163292.22,1,2000,4,2000,3,7,5
7/6/2000,0.00,0.00,5665885115450.41,1,2000,4,2000,3,7,6
7/7/2000,0.00,0.00,5664950120488.65,1,2000,4,2000,3,7,7
7/10/2000,0.00,0.00,5662949608628.38,1,2000,4,2000,3,7,10
7/11/2000,0.00,0.00,5665065032353.04,1,2000,4,2000,3,7,11
7/12/2000,0.00,0.00,5664141886637.91,1,2000,4,2000,3,7,12
7/13/2000,0.00,0.00,5666740403750.26,1,2000,4,2000,3,7,13
7/14/2000,0.00,0.00,5666749557909.16,1,2000,4,2000,3,7,14
7/17/2000,0.00,0.00,5671572598778.11,1,2000,4,2000,3,7,17
7/18/2000,0.00,0.00,5680376489658.94,1,2000,4,2000,3,7,18
7/19/2000,0.00,0.00,5678196782955.74,1,2000,4,2000,3,7,19
7/20/2000,0.00,0.00,5665502891368.60,1,2000,4,2000,3,7,20
7/21/2000,0.00,0.00,5667708257883.47,1,2000,4,2000,3,7,21
7/24/2000,0.00,0.00,5668098197951.86,1,2000,4,2000,3,7,24
7/25/2000,0.00,0.00,5670717940248.21,1,2000,4,2000,3,7,25
7/26/2000,0.00,0.00,5669530258286.44,1,2000,4,2000,3,7,26
7/27/2000,0.00,0.00,5673849483128.50,1,2000,4,2000,3,7,27
7/28/2000,0.00,0.00,5671430125200.86,1,2000,4,2000,3,7,28
7/31/2000,0.00,0.00,5658807449906.68,1,2000,4,2000,3,7,31
8/1/2000,0.00,0.00,5652485270404.28,1,2000,4,2000,3,8,1
8/2/2000,0.00,0.00,5656022578326.22,1,2000,4,2000,3,8,2
8/3/2000,0.00,0.00,5640950837276.55,1,2000,4,2000,3,8,3
8/4/2000,0.00,0.00,5641562301191.80,1,2000,4,2000,3,8,4
8/7/2000,0.00,0.00,5643344135035.46,1,2000,4,2000,3,8,7
8/8/2000,0.00,0.00,5644680330202.24,1,2000,4,2000,3,8,8
8/9/2000,0.00,0.00,5641361915329.55,1,2000,4,2000,3,8,9
8/10/2000,0.00,0.00,5647243550426.66,1,2000,4,2000,3,8,10
8/11/2000,0.00,0.00,5648286329505.12,1,2000,4,2000,3,8,11
8/14/2000,0.00,0.00,5648846027637.05,1,2000,4,2000,3,8,14
8/15/2000,0.00,0.00,5679371484367.22,1,2000,4,2000,3,8,15
8/16/2000,0.00,0.00,5677493670632.09,1,2000,4,2000,3,8,16
8/17/2000,0.00,0.00,5670246155338.79,1,2000,4,2000,3,8,17
8/18/2000,0.00,0.00,5670329490959.40,1,2000,4,2000,3,8,18
8/21/2000,0.00,0.00,5670375401050.23,1,2000,4,2000,3,8,21
8/22/2000,0.00,0.00,5673442837103.28,1,2000,4,2000,3,8,22
8/23/2000,0.00,0.00,5672452556960.42,1,2000,4,2000,3,8,23
8/24/2000,0.00,0.00,5677681740802.04,1,2000,4,2000,3,8,24
8/25/2000,0.00,0.00,5677647064339.47,1,2000,4,2000,3,8,25
8/28/2000,0.00,0.00,5677115998144.41,1,2000,4,2000,3,8,28
8/29/2000,0.00,0.00,5679723029209.03,1,2000,4,2000,3,8,29
8/30/2000,0.00,0.00,5676995228067.60,1,2000,4,2000,3,8,30
8/31/2000,0.00,0.00,5677822307077.83,1,2000,4,2000,3,8,31
9/1/2000,0.00,0.00,5676516679692.56,1,2000,4,2000,3,9,1
9/5/2000,0.00,0.00,5678475470839.16,1,2000,4,2000,3,9,5
9/6/2000,0.00,0.00,5681881776256.37,1,2000,4,2000,3,9,6
9/7/2000,0.00,0.00,5680707239455.93,1,2000,4,2000,3,9,7
9/8/2000,0.00,0.00,5680083623060.12,1,2000,4,2000,3,9,8
9/11/2000,0.00,0.00,5680975300511.24,1,2000,4,2000,3,9,11
9/12/2000,0.00,0.00,5684118446519.63,1,2000,4,2000,3,9,12
9/13/2000,0.00,0.00,5685088778465.03,1,2000,4,2000,3,9,13
9/14/2000,0.00,0.00,5675575620669.30,1,2000,4,2000,3,9,14
9/15/2000,0.00,0.00,5649458049076.86,1,2000,4,2000,3,9,15
9/18/2000,0.00,0.00,5651871016617.17,1,2000,4,2000,3,9,18
9/19/2000,0.00,0.00,5658234946688.07,1,2000,4,2000,3,9,19
9/20/2000,0.00,0.00,5660515052511.42,1,2000,4,2000,3,9,20
9/21/2000,0.00,0.00,5644927300946.80,1,2000,4,2000,3,9,21
9/22/2000,0.00,0.00,5646596948282.03,1,2000,4,2000,3,9,22
9/25/2000,0.00,0.00,5646252666475.97,1,2000,4,2000,3,9,25
9/26/2000,0.00,0.00,5648781388359.77,1,2000,4,2000,3,9,26
9/27/2000,0.00,0.00,5650215693123.45,1,2000,4,2000,3,9,27
9/28/2000,0.00,0.00,5647797489451.39,1,2000,4,2000,3,9,28
9/29/2000,3405303490221.20,2268874719665.66,5674178209886.86,1,2000,4,2000,3,9,29
10/2/2000,0.00,0.00,5661548045674.53,1,2001,1,2000,4,10,2
10/3/2000,0.00,0.00,5653358623363.58,1,2001,1,2000,4,10,3
10/4/2000,0.00,0.00,5653380479214.62,1,2001,1,2000,4,10,4
10/5/2000,0.00,0.00,5662225814331.71,1,2001,1,2000,4,10,5
10/6/2000,0.00,0.00,5660786987693.59,1,2001,1,2000,4,10,6
10/10/2000,0.00,0.00,5658397995719.35,1,2001,1,2000,4,10,10
10/11/2000,0.00,0.00,5660113029266.52,1,2001,1,2000,4,10,11
10/12/2000,0.00,0.00,5652782594061.86,1,2001,1,2000,4,10,12
10/13/2000,0.00,0.00,5654691872296.28,1,2001,1,2000,4,10,13
10/16/2000,0.00,0.00,5660152346828.33,1,2001,1,2000,4,10,16
10/17/2000,0.00,0.00,5664975939816.81,1,2001,1,2000,4,10,17
10/18/2000,0.00,0.00,5664293307225.32,1,2001,1,2000,4,10,18
10/19/2000,0.00,0.00,5670716361031.21,1,2001,1,2000,4,10,19
10/20/2000,0.00,0.00,5671113923599.68,1,2001,1,2000,4,10,20
10/23/2000,0.00,0.00,5670684446983.21,1,2001,1,2000,4,10,23
10/24/2000,0.00,0.00,5674018471636.91,1,2001,1,2000,4,10,24
10/25/2000,0.00,0.00,5672690012239.29,1,2001,1,2000,4,10,25
10/26/2000,0.00,0.00,5677614391875.30,1,2001,1,2000,4,10,26
10/27/2000,0.00,0.00,5678667034082.46,1,2001,1,2000,4,10,27
10/30/2000,0.00,0.00,5675479560020.27,1,2001,1,2000,4,10,30
10/31/2000,0.00,0.00,5657327531667.14,1,2001,1,2000,4,10,31
11/1/2000,0.00,0.00,5680961418882.13,1,2001,1,2000,4,11,1
11/2/2000,0.00,0.00,5691725335190.51,1,2001,1,2000,4,11,2
11/3/2000,0.00,0.00,5676558033203.23,1,2001,1,2000,4,11,3
11/6/2000,0.00,0.00,5678648844656.97,1,2001,1,2000,4,11,6
11/7/2000,0.00,0.00,5681279424524.84,1,2001,1,2000,4,11,7
11/8/2000,0.00,0.00,5679555849883.62,1,2001,1,2000,4,11,8
11/10/2000,0.00,0.00,5672552063911.28,1,2001,1,2000,4,11,10
11/13/2000,0.00,0.00,5672143362653.09,1,2001,1,2000,4,11,13
11/14/2000,0.00,0.00,5675947901835.78,1,2001,1,2000,4,11,14
11/15/2000,0.00,0.00,5690309860010.61,1,2001,1,2000,4,11,15
11/16/2000,0.00,0.00,5697018859217.42,1,2001,1,2000,4,11,16
11/17/2000,0.00,0.00,5699605608462.98,1,2001,1,2000,4,11,17
11/20/2000,0.00,0.00,5699552938717.19,1,2001,1,2000,4,11,20
11/21/2000,0.00,0.00,5702078800235.91,1,2001,1,2000,4,11,21
11/22/2000,0.00,0.00,5701163257576.67,1,2001,1,2000,4,11,22
11/24/2000,0.00,0.00,5707111759932.43,1,2001,1,2000,4,11,24
11/27/2000,0.00,0.00,5709192249328.43,1,2001,1,2000,4,11,27
11/28/2000,0.00,0.00,5711686606331.30,1,2001,1,2000,4,11,28
11/29/2000,0.00,0.00,5709271037447.22,1,2001,1,2000,4,11,29
11/30/2000,0.00,0.00,5709699281427.00,1,2001,1,2000,4,11,30
12/1/2000,0.00,0.00,5719966855820.30,1,2001,1,2000,4,12,1
12/4/2000,0.00,0.00,5723013386410.80,1,2001,1,2000,4,12,4
12/5/2000,0.00,0.00,5725766524240.10,1,2001,1,2000,4,12,5
12/6/2000,0.00,0.00,5725118617894.72,1,2001,1,2000,4,12,6
12/7/2000,0.00,0.00,5717605135485.67,1,2001,1,2000,4,12,7
12/8/2000,0.00,0.00,5717976505434.98,1,2001,1,2000,4,12,8
12/11/2000,0.00,0.00,5717704373699.51,1,2001,1,2000,4,12,11
12/12/2000,0.00,0.00,5720302790724.90,1,2001,1,2000,4,12,12
12/13/2000,0.00,0.00,5720701862393.67,1,2001,1,2000,4,12,13
12/14/2000,0.00,0.00,5726713628599.18,1,2001,1,2000,4,12,14
12/15/2000,0.00,0.00,5689047905641.57,1,2001,1,2000,4,12,15
12/18/2000,0.00,0.00,5677827711900.99,1,2001,1,2000,4,12,18
12/19/2000,0.00,0.00,5683378289685.26,1,2001,1,2000,4,12,19
12/20/2000,0.00,0.00,5681426863675.59,1,2001,1,2000,4,12,20
12/21/2000,0.00,0.00,5657586457060.46,1,2001,1,2000,4,12,21
12/22/2000,0.00,0.00,5657372924635.71,1,2001,1,2000,4,12,22
12/26/2000,0.00,0.00,5661579846114.32,1,2001,1,2000,4,12,26
12/27/2000,0.00,0.00,5663706592936.09,1,2001,1,2000,4,12,27
12/28/2000,0.00,0.00,5665928609714.47,1,2001,1,2000,4,12,28
12/29/2000,0.00,0.00,5662216013697.37,1,2001,1,2000,4,12,29
1/2/2001,0.00,0.00,5728739508558.96,1,2001,2,2001,1,1,2
1/3/2001,0.00,0.00,5723237439563.59,1,2001,2,2001,1,1,3
1/4/2001,0.00,0.00,5719452925490.54,1,2001,2,2001,1,1,4
1/5/2001,0.00,0.00,5722338254319.31,1,2001,2,2001,1,1,5
1/9/2001,0.00,0.00,5725066298944.04,1,2001,2,2001,1,1,9
1/10/2001,0.00,0.00,5724315917828.49,1,2001,2,2001,1,1,10
1/11/2001,0.00,0.00,5734110648665.41,1,2001,2,2001,1,1,11
1/12/2001,0.00,0.00,5735197779458.19,1,2001,2,2001,1,1,12
1/16/2001,0.00,0.00,5711790291567.40,1,2001,2,2001,1,1,16
1/17/2001,0.00,0.00,5718517343351.92,1,2001,2,2001,1,1,17
1/18/2001,0.00,0.00,5725695166475.90,1,2001,2,2001,1,1,18
1/19/2001,0.00,0.00,5727776738304.64,1,2001,2,2001,1,1,19
