Period,Total
"1 January 2000","46946"
"1 February 2000","48973"
"1 March 2000","59430"
"1 April 2000","56413"
"1 May 2000","58663"
"1 June 2000","61633"
"1 July 2000","63177"
"1 August 2000","61901"
"1 September 2000","52445"
"1 October 2000","56750"
"1 November 2000","55160"
"1 December 2000","52760"
"1 January 2001","49990"
"1 February 2001","48523"
"1 March 2001","59647"
"1 April 2001","57027"
"1 May 2001","57298"
"1 June 2001","60298"
"1 July 2001","63147"
"1 August 2001","63635"
"1 September 2001","34801"
"1 October 2001","44219"
"1 November 2001","44884"
"1 December 2001","45797"
"1 January 2002","43622"
"1 February 2002","43391"
"1 March 2002","54556"
"1 April 2002","50796"
"1 May 2002","52677"
"1 June 2002","55429"
"1 July 2002","57901"
"1 August 2002","57961"
"1 September 2002","45498"
"1 October 2002","53674"
"1 November 2002","50348"
"1 December 2002","55753"
"1 January 2003","49034"
"1 February 2003","46557"
"1 March 2003","56282"
"1 April 2003","52380"
"1 May 2003","54559"
"1 June 2003","58586"
"1 July 2003","63071"
"1 August 2003","61329"
"1 September 2003","49936"
"1 October 2003","55852"
"1 November 2003","52938"
"1 December 2003","56202"
"1 January 2004","50323"
"1 February 2004","51528"
"1 March 2004","61421"
"1 April 2004","60163"
"1 May 2004","59838"
"1 June 2004","64530"
"1 July 2004","68179"
"1 August 2004","65581"
"1 September 2004","53998"
"1 October 2004","60779"
"1 November 2004","58020"
"1 December 2004","59654"
"1 January 2005","55230"
"1 February 2005","53658"
"1 March 2005","67107"
"1 April 2005","62336"
"1 May 2005","64844"
"1 June 2005","67921"
"1 July 2005","71472"
"1 August 2005","67562"
"1 September 2005","57387"
"1 October 2005","60441"
"1 November 2005","59194"
"1 December 2005","60019"
"1 January 2006","56149"
"1 February 2006","53870"
"1 March 2006","66523"
"1 April 2006","63694"
"1 May 2006","64885"
"1 June 2006","67723"
"1 July 2006","70066"
"1 August 2006","66985"
"1 September 2006","56909"
"1 October 2006","62089"
"1 November 2006","60742"
"1 December 2006","61156"
"1 January 2007","57653"
"1 February 2007","54506"
"1 March 2007","67766"
"1 April 2007","65384"
"1 May 2007","67236"
"1 June 2007","70235"
"1 July 2007","73056"
"1 August 2007","71963"
"1 September 2007","59760"
"1 October 2007","64684"
"1 November 2007","62405"
"1 December 2007","61341"
"1 January 2008","58280"
"1 February 2008","57519"
"1 March 2008","68271"
"1 April 2008","63668"
"1 May 2008","66537"
"1 June 2008","68445"
"1 July 2008","70998"
"1 August 2008","68337"
"1 September 2008","54703"
"1 October 2008","60198"
"1 November 2008","54492"
"1 December 2008","57794"
"1 January 2009","52257"
"1 February 2009","50217"
"1 March 2009","61403"
"1 April 2009","59966"
"1 May 2009","60167"
"1 June 2009","64005"
"1 July 2009","68604"
"1 August 2009","65549"
"1 September 2009","55168"
"1 October 2009","59312"
"1 November 2009","55285"
"1 December 2009","57357"
"1 January 2010","53043"
"1 February 2010","49091"
"1 March 2010","62735"
"1 April 2010","60145"
"1 May 2010","61941"
"1 June 2010","65515"
"1 July 2010","69078"
